Chr	Start	Stop	GeneID	Max_norm_counts	RH4_dCBP1_072221_CWRU	RH4_DMSO_072221_CWRU	Norm_RH4_dCBP1_072221_CWRU	Norm_RH4_DMSO_072221_CWRU
19	58033989	58058907	ZSCAN1	0.01	0.07	0.06	0.01	0.01
X	15790472	15826807	ZRSR2	0.05	0.54	0.42	0.05	0.04
2	135196969	135531218	ZRANB3	0.22	2.24	1.91	0.22	0.19
1	71046506	71067184	ZRANB2-AS1	0.03	0.3	0.09	0.03	0.01
1	71063291	71081035	ZRANB2	2.12	21.16	17.37	2.12	1.74
10	124939489	124988189	ZRANB1	1.41	14.09	9.5	1.41	0.95
11	116773799	116789272	ZPR1	0.76	7.61	5	0.76	0.50
1	26225320	26229840	ZPLD2P	0.00	0	0	0.00	0.00
3	102385144	102479841	ZPLD1	0.00	0	0.04	0.00	0.00
17	39868164	39877896	ZPBP2	0.00	0	0	0.00	0.00
7	49846355	50093258	ZPBP	0.00	0	0	0.00	0.00
1	237882404	237890922	ZP4	0.00	0	0	0.00	0.00
7	76397522	76442069	ZP3	0.01	0.05	0.07	0.01	0.01
16	21197450	21214510	ZP2	0.00	0	0	0.00	0.00
11	60867542	60875693	ZP1	0.00	0	0	0.00	0.00
19	5455417	5456856	ZNRF4	0.00	0	0	0.00	0.00
22	29024999	29031476	ZNRF3-AS1	0.01	0.05	0.02	0.01	0.00
22	28800657	29057488	ZNRF3	0.21	1.94	2.09	0.19	0.21
7	29684772	29685821	ZNRF2P2	0.05	0.54	0.24	0.05	0.02
7	32727950	32729983	ZNRF2P1	0.11	1.05	0.72	0.11	0.07
7	30284597	30367689	ZNRF2	0.49	3.66	4.94	0.37	0.49
16	74999024	75110994	ZNRF1	0.21	2.08	1.31	0.21	0.13
11	65569220	65570413	ZNRD2-DT	0.03	0.31	0.26	0.03	0.03
11	65570477	65571888	ZNRD2	1.08	10.81	9.72	1.08	0.97
6	30001011	30061189	ZNRD1ASP	0.08	0.81	0.54	0.08	0.05
8	101166805	101170239	ZNNT1	0.03	0.29	0.19	0.03	0.02
1	85649417	85708458	ZNHIT6	0.51	5.09	3.48	0.51	0.35
17	36486681	36499312	ZNHIT3	3.95	39.49	23.44	3.95	2.35
11	65116403	65117701	ZNHIT2	0.37	3.72	3.2	0.37	0.32
7	101218165	101224191	ZNHIT1	7.88	78.67	56.5	7.88	5.66
20	49245900	49278057	ZNFX1	0.55	2.27	5.47	0.23	0.55
19	22752183	22784151	ZNF99	0.00	0	0	0.00	0.00
19	22391019	22422346	ZNF98	0.00	0	0	0.00	0.00
19	19900946	19935575	ZNF93	0.29	2.91	2.54	0.29	0.25
7	65373855	65401136	ZNF92	1.62	16.19	10.33	1.62	1.03
19	23305004	23395527	ZNF91	0.39	3.94	3.18	0.39	0.32
19	20078000	20127090	ZNF90	0.27	2.67	1.72	0.27	0.17
19	58257273	58278791	ZNF8-DT	0.09	0.87	0.49	0.09	0.05
12	133104779	133130274	ZNF891	0.09	0.91	0.87	0.09	0.09
7	5121310	5144546	ZNF890P	0.00	0	0	0.00	0.00
19	52904415	52929161	ZNF888	0.27	2.66	1.53	0.27	0.15
9	112997120	113012192	ZNF883	0.00	0.02	0.02	0.00	0.00
19	52369923	52395874	ZNF880	0.16	1.39	1.61	0.14	0.16
5	179023759	179035064	ZNF879	0.06	0.55	0.21	0.06	0.02
19	12043647	12052961	ZNF878	0.02	0.22	0.03	0.02	0.00
4	212600	255985	ZNF876P	0.15	1.53	0.48	0.15	0.05
19	37312837	37364455	ZNF875	0.61	6.1	4.32	0.61	0.43
19	55605647	55617269	ZNF865	0.26	2.63	2.57	0.26	0.26
7	149838375	149867479	ZNF862	0.14	1.35	0.82	0.14	0.08
3	31981750	32005112	ZNF860	0.00	0.04	0.03	0.00	0.00
7	6615610	6624290	ZNF853	0.34	3.44	1.83	0.34	0.18
3	44491766	44510617	ZNF852	0.08	0.61	0.76	0.06	0.08
19	36743480	36772807	ZNF850	0.28	2.75	2.52	0.28	0.25
19	20923227	20950697	ZNF85	0.35	3.54	2.12	0.35	0.21
12	133032659	133037222	ZNF84-DT	0.00	0	0	0.00	0.00
1	227697032	227697707	ZNF847P	0.00	0	0	0.00	0.00
19	9751993	9786160	ZNF846	0.06	0.58	0.37	0.06	0.04
19	53333749	53356906	ZNF845	0.57	5.68	4.03	0.57	0.40
19	12064731	12081565	ZNF844	0.02	0.16	0.12	0.02	0.01
16	31435434	31443160	ZNF843	0.01	0.06	0	0.01	0.00
19	52050028	52095780	ZNF841	0.17	1.68	1.33	0.17	0.13
12	133037301	133063299	ZNF84	0.30	2.96	2.75	0.30	0.28
14	102317506	102342614	ZNF839	0.20	2.01	0.81	0.20	0.08
19	58367623	58381030	ZNF837	0.09	0.91	0.67	0.09	0.07
19	52154050	52171664	ZNF836	0.05	0.53	0.23	0.05	0.02
19	56661980	56671783	ZNF835	0.00	0.02	0.01	0.00	0.00
19	11673998	11686569	ZNF833P	0.01	0.1	0	0.01	0.00
20	59123388	59259113	ZNF831	0.00	0	0	0.00	0.00
17	34961540	34963777	ZNF830	0.89	8.87	5.25	0.89	0.53
19	52612377	52690496	ZNF83	0.16	1.57	1.07	0.16	0.11
19	36888124	36916387	ZNF829	0.15	1.47	0.79	0.15	0.08
4	145757627	145938823	ZNF827	0.13	1.27	0.89	0.13	0.09
19	20398658	20424965	ZNF826P	0.10	1	0.39	0.10	0.04
19	11721265	11738997	ZNF823	0.11	1.11	0.28	0.11	0.03
16	71859680	71885353	ZNF821	0.36	3.6	1.57	0.36	0.16
19	53212948	53216102	ZNF818P	0.01	0.06	0.05	0.01	0.01
19	52927135	52962881	ZNF816-ZNF321P	0.00	0	0	0.00	0.00
19	52949385	52962881	ZNF816	0.26	2.63	1.76	0.26	0.18
7	5823160	5854435	ZNF815P	0.03	0.33	0	0.03	0.00
19	57869381	57889037	ZNF814	0.04	0.37	0.25	0.04	0.03
19	53467733	53496255	ZNF813	0.15	1.54	1.02	0.15	0.10
19	9688860	9700776	ZNF812P	0.00	0	0	0.00	0.00
X	47836902	47925627	ZNF81	0.22	2.16	1.72	0.22	0.17
19	52512747	52564464	ZNF808	0.30	3.01	2.38	0.30	0.24
19	34541692	34677159	ZNF807P	0.01	0.11	0.03	0.01	0.00
19	57240632	57262728	ZNF805	0.38	3.77	2.6	0.38	0.26
7	88759700	89338528	ZNF804B	0.02	0.15	0.22	0.02	0.02
2	184598529	184939492	ZNF804A	0.44	0.86	4.42	0.09	0.44
7	127342871	127392798	ZNF800	1.44	14.4	11.57	1.44	1.16
3	114234631	114237578	ZNF80	0.00	0	0	0.00	0.00
19	58278955	58302791	ZNF8	0.10	1.04	0.91	0.10	0.09
19	12390016	12401271	ZNF799	0.04	0.43	0.21	0.04	0.02
19	37497159	37507087	ZNF793-AS1	0.05	0.52	0.45	0.05	0.05
19	37506939	37543337	ZNF793	0.03	0.26	0.12	0.03	0.01
19	34956354	34964229	ZNF792	0.03	0.27	0.15	0.03	0.02
19	12610920	12633834	ZNF791	0.23	2.26	1.59	0.23	0.16
19	36797550	36828111	ZNF790-AS1	0.04	0.41	0.35	0.04	0.04
19	36817391	36850792	ZNF790	0.16	1.61	0.61	0.16	0.06
9	127424382	127446289	ZNF79	0.36	3.63	2.46	0.36	0.25
7	99472819	99487605	ZNF789	0.31	3.09	1.8	0.31	0.18
19	12092297	12114753	ZNF788P	0.05	0.49	0.27	0.05	0.03
19	56087366	56121295	ZNF787	1.14	9.26	11.43	0.93	1.14
7	149069641	149090718	ZNF786	0.23	2.33	0.69	0.23	0.07
16	30572939	30586038	ZNF785	0.19	1.85	1.26	0.19	0.13
19	55620741	55624566	ZNF784	0.37	3.65	1.8	0.37	0.18
7	149262196	149284994	ZNF783	0.13	1.26	1.27	0.13	0.13
9	96815628	96876698	ZNF782	0.08	0.77	0.59	0.08	0.06
19	37667751	37692315	ZNF781	0.03	0.29	0.18	0.03	0.02
19	40028260	40064448	ZNF780B	0.20	1.94	2.04	0.19	0.20
19	40069008	40091706	ZNF780A	0.34	3.37	1.83	0.34	0.18
16	89202112	89237141	ZNF778	0.24	2.43	1.67	0.24	0.17
7	149431363	149461062	ZNF777	0.40	3.95	2.11	0.40	0.21
19	57746815	57758148	ZNF776	0.83	8.32	4.36	0.83	0.44
7	150379844	150385296	ZNF775-AS1	0.01	0.08	0.13	0.01	0.01
7	150379330	150398630	ZNF775	0.19	1.09	1.89	0.11	0.19
15	90351439	90362847	ZNF774	0.13	1.25	0.35	0.13	0.04
19	57499938	57518437	ZNF773	0.20	2	0.94	0.20	0.09
19	57469586	57479014	ZNF772	0.65	6.53	3.41	0.65	0.34
16	30407606	30419414	ZNF771	0.25	2.51	1.99	0.25	0.20
15	34978341	34988287	ZNF770	1.18	11.8	11.56	1.18	1.16
19	2933218	2944971	ZNF77	0.19	1.89	1.48	0.19	0.15
16	30524004	30532367	ZNF768	0.73	7.33	4.73	0.73	0.47
7	149547154	149624790	ZNF767P	0.12	1.22	0.69	0.12	0.07
19	52269251	52296046	ZNF766	0.26	1.66	2.62	0.17	0.26
19	53395149	53427321	ZNF765	0.62	6.19	5.37	0.62	0.54
16	30553764	30558374	ZNF764	0.29	2.88	1.32	0.29	0.13
19	11965040	11980617	ZNF763	0.00	0.02	0.02	0.00	0.00
19	53431984	53458261	ZNF761	0.65	6.54	3.76	0.65	0.38
6	35259473	35295985	ZNF76	0.62	6.17	4.79	0.62	0.48
X	135248589	135344629	ZNF75D	0.53	2.7	5.31	0.27	0.53
16	3305478	3322999	ZNF75A	0.23	2.3	1.41	0.23	0.14
17	82829434	82840022	ZNF750	0.01	0.11	0.1	0.01	0.01
19	57428565	57447101	ZNF749	0.15	1.5	1.53	0.15	0.15
16	30530367	30534858	ZNF747	0.44	4.37	2.74	0.44	0.27
7	149472696	149497809	ZNF746	0.57	5.71	3.22	0.57	0.32
12	53180715	53195142	ZNF740	0.80	7.99	5.75	0.80	0.58
22	20394151	20408455	ZNF74	0.52	5.22	3.27	0.52	0.33
19	21359000	21388582	ZNF738	0.65	6.48	3.74	0.65	0.37
19	20531230	20565821	ZNF737	0.12	1.24	0.86	0.12	0.09
7	64313961	64356634	ZNF736	0.80	7.95	3.93	0.80	0.39
7	64207203	64220290	ZNF735	0.00	0	0	0.00	0.00
7	63291287	63304056	ZNF733P	0.01	0.03	0.06	0.00	0.01
4	270675	305474	ZNF732	0.00	0.02	0	0.00	0.00
19	23074989	23147886	ZNF730	0.98	9.75	4.56	0.98	0.46
19	22286441	22317176	ZNF729	0.00	0	0	0.00	0.00
19	22974883	23003176	ZNF728	0.00	0	0	0.00	0.00
7	64043194	64085339	ZNF727	0.01	0.12	0	0.01	0.00
19	23914886	23944714	ZNF726	0.43	4.31	2.11	0.43	0.21
19	23221584	23250456	ZNF724	0.68	6.78	4.7	0.68	0.47
19	22820075	22859398	ZNF723	0.00	0	0	0.00	0.00
4	439988	499156	ZNF721	0.49	4.89	2.96	0.49	0.30
4	124246	202306	ZNF718	0.42	4.21	2.66	0.42	0.27
3	75729961	75785578	ZNF717	0.47	4.67	4.39	0.47	0.44
7	57450177	57473559	ZNF716	0.00	0.01	0	0.00	0.00
19	21082203	21125094	ZNF714	0.48	4.78	2.91	0.48	0.29
7	55887456	55942225	ZNF713	0.06	0.56	0.15	0.06	0.02
X	85243820	85273362	ZNF711	0.65	6.49	6.54	0.65	0.65
15	90074512	90082207	ZNF710-AS1	0.08	0.79	0.59	0.08	0.06
15	90001324	90082191	ZNF710	0.15	1.52	1	0.15	0.10
19	56595302	56624486	ZNF71	0.64	6.37	5.6	0.64	0.56
19	12461184	12484816	ZNF709	0.30	2.96	0.93	0.30	0.09
19	21290385	21329437	ZNF708	0.14	1.42	0.92	0.14	0.09
8	143684479	143695385	ZNF707	0.23	2.34	1.42	0.23	0.14
8	101197052	101206470	ZNF706	0.89	8.19	8.9	0.82	0.89
8	7355517	7385558	ZNF705G	0.00	0	0	0.00	0.00
8	12089338	12115516	ZNF705D	0.00	0	0	0.00	0.00
8	7926337	7952413	ZNF705B	0.00	0	0	0.00	0.00
12	8156999	8180046	ZNF705A	0.00	0	0.01	0.00	0.00
8	80628451	80884416	ZNF704	0.93	5.88	9.29	0.59	0.93
8	37695782	37700019	ZNF703	0.38	3.47	3.83	0.35	0.38
19	52968251	52993531	ZNF702P	0.00	0	0	0.00	0.00
19	52570285	52627269	ZNF701	0.22	2.16	1.98	0.22	0.20
19	11925107	11950763	ZNF700	0.16	1.58	0.92	0.16	0.09
22	23738682	23751112	ZNF70	0.10	1.04	0.6	0.10	0.06
8	144827509	144848070	ZNF7	0.60	5.96	4.33	0.60	0.43
19	9291140	9309838	ZNF699	0.24	2.35	0.98	0.24	0.10
1	119619377	119648266	ZNF697	0.23	2.26	1.86	0.23	0.19
8	143291417	143299952	ZNF696	0.15	1.46	0.92	0.15	0.09
1	246945546	247008057	ZNF695	0.43	4.29	2.99	0.43	0.30
1	248850004	248860761	ZNF692	0.12	1.23	0.91	0.12	0.09
1	42846563	42852477	ZNF691	0.53	5.17	5.27	0.52	0.53
19	11887773	11980222	ZNF69	0.01	0.07	0.06	0.01	0.01
16	30602558	30610775	ZNF689	0.49	4.85	3.22	0.49	0.32
16	30569677	30572495	ZNF688	0.38	3.78	1.77	0.38	0.18
1	151280024	151281929	ZNF687-AS1	0.08	0.84	0.64	0.08	0.06
1	151281522	151292176	ZNF687	0.56	5.56	4.04	0.56	0.40
1	40531637	40548167	ZNF684	0.57	5.68	2.28	0.57	0.23
1	26361632	26374536	ZNF683	0.00	0	0	0.00	0.00
19	20004418	20039505	ZNF682	0.12	1.24	0.8	0.12	0.08
19	23739195	23758891	ZNF681	0.05	0.54	0.28	0.05	0.03
7	64500253	64563135	ZNF680	1.09	10.85	7.1	1.09	0.71
7	64228474	64266931	ZNF679	0.00	0	0	0.00	0.00
1	227563556	227679669	ZNF678	0.25	2.51	1.45	0.25	0.15
19	53235381	53254873	ZNF677	0.11	1.08	0.19	0.11	0.02
19	22179089	22196951	ZNF676	0.01	0.07	0	0.01	0.00
19	23652801	23687212	ZNF675	0.64	6.43	3.14	0.64	0.31
X	46545490	46548475	ZNF674-AS1	0.08	0.78	0.64	0.08	0.06
X	46497725	46545466	ZNF674	0.07	0.68	0.5	0.07	0.05
1	248838219	248849517	ZNF672	0.66	6.62	5.34	0.66	0.53
19	57719747	57727637	ZNF671	0.00	0.03	0.02	0.00	0.00
1	246945547	247078813	ZNF670-ZNF695	0.03	0.34	0.07	0.03	0.01
1	247034637	247078811	ZNF670	0.29	2.89	2.82	0.29	0.28
1	247099962	247104356	ZNF669	0.46	4.58	2.93	0.46	0.29
16	31060847	31074240	ZNF668	0.90	1.97	9.02	0.20	0.90
19	56477874	56495437	ZNF667-AS1	0.49	4.94	3.98	0.49	0.40
19	56438512	56478065	ZNF667	0.14	0.99	1.36	0.10	0.14
19	53162424	53193404	ZNF665	0.01	0.07	0.06	0.01	0.01
12	123973215	124015427	ZNF664	1.80	17.97	16.56	1.80	1.66
20	46456493	46457643	ZNF663P	0.01	0.09	0	0.01	0.00
3	42906142	42919334	ZNF662	0.00	0	0	0.00	0.00
3	44584964	44599694	ZNF660	0.09	0.88	0.92	0.09	0.09
19	20776304	20809995	ZNF66	0.06	0.56	0.23	0.06	0.02
9	39443815	39464526	ZNF658B	0.11	1.12	0.77	0.11	0.08
9	66900725	66932141	ZNF658	0.39	3.93	1.58	0.39	0.16
7	99558544	99576453	ZNF655	1.35	13.49	13.2	1.35	1.32
3	88059197	88144660	ZNF654	1.05	10.47	7.84	1.05	0.79
19	11483429	11505839	ZNF653	0.09	0.89	0.48	0.09	0.05
17	49361165	49380094	ZNF652-AS1	0.05	0.49	0	0.05	0.00
17	49289206	49362473	ZNF652	0.54	5.38	4.57	0.54	0.46
19	51888025	51900464	ZNF649-AS1	0.04	0.37	0	0.04	0.00
19	51889235	51905017	ZNF649	0.83	8.29	5.59	0.83	0.56
1	182053740	182081725	ZNF648	0.00	0.01	0	0.00	0.00
16	31073665	31084196	ZNF646	0.29	2.88	2.66	0.29	0.27
1	90915304	91022267	ZNF644	3.21	32.02	27.34	3.21	2.74
12	48334380	48351414	ZNF641	0.23	2.28	0.64	0.23	0.06
3	179322876	179338583	ZNF639	0.95	9.52	7.56	0.95	0.76
2	71331782	71435061	ZNF638	1.12	11.19	9.14	1.12	0.92
X	48056310	48067308	ZNF630-AS1	0.00	0	0	0.00	0.00
X	48057516	48071640	ZNF630	0.00	0	0	0.00	0.00
16	30778456	30787205	ZNF629	0.48	4.79	3.41	0.48	0.34
19	55476603	55484487	ZNF628	0.19	1.9	1.62	0.19	0.16
19	11575255	11619161	ZNF627	0.81	8.12	4.97	0.81	0.50
19	20619939	20661571	ZNF626	0.32	3.17	1.74	0.32	0.17
19	12131350	12156731	ZNF625-ZNF20	0.00	0	0	0.00	0.00
19	12144890	12156734	ZNF625	0.11	1.13	0.94	0.11	0.09
17	16620734	16655210	ZNF624	0.38	3.75	2.28	0.38	0.23
8	143636019	143653730	ZNF623	0.54	5.36	4.38	0.54	0.44
5	16451519	16465800	ZNF622	1.63	16.26	12.47	1.63	1.25
3	40523854	40539974	ZNF621	0.18	1.83	0.67	0.18	0.07
3	40502604	40518736	ZNF620	0.60	6.02	1.87	0.60	0.19
3	40477122	40491053	ZNF619	0.12	1.22	0.76	0.12	0.08
9	113876285	114056595	ZNF618	0.33	3.3	2.61	0.33	0.26
19	52113091	52139938	ZNF616	0.22	2.24	1.72	0.22	0.17
19	51991332	52008221	ZNF615	0.50	4.97	2.28	0.50	0.23
19	52013324	52028379	ZNF614	0.90	8.96	6.94	0.90	0.69
19	51927147	51946621	ZNF613	0.22	2.2	1.18	0.22	0.12
19	52702813	52735044	ZNF611	0.25	2.48	1.46	0.25	0.15
19	52336243	52367778	ZNF610	0.03	0.29	0.26	0.03	0.03
15	64460350	64686068	ZNF609	0.32	3.18	2.51	0.32	0.25
5	124636913	124748824	ZNF608	0.13	0.31	1.29	0.03	0.13
19	37696363	37720165	ZNF607	0.35	3.49	2.21	0.35	0.22
19	57977053	58003346	ZNF606	0.31	3.08	1.84	0.31	0.18
12	132918306	132956306	ZNF605	0.04	0.41	0.31	0.04	0.03
19	52764164	52786825	ZNF600	0.02	0.15	0.05	0.02	0.01
19	34758073	34773215	ZNF599	0.07	0.72	0.37	0.07	0.04
16	1997654	2009821	ZNF598	0.88	8.04	8.82	0.81	0.88
16	3432414	3443504	ZNF597	0.09	0.72	0.93	0.07	0.09
8	232137	247340	ZNF596	0.21	2.11	1.5	0.21	0.15
4	53276	88208	ZNF595	0.71	7.1	4.88	0.71	0.49
17	5192007	5236003	ZNF594-DT	0.04	0.43	0.15	0.04	0.02
17	5174021	5191883	ZNF594	0.08	0.75	0.54	0.08	0.05
1	26169908	26170873	ZNF593	4.55	34.14	45.42	3.42	4.55
15	84748556	84806445	ZNF592	0.46	4.61	2.38	0.46	0.24
3	48241104	48270990	ZNF589	0.05	0.51	0.32	0.05	0.03
19	57830299	57846238	ZNF587B	0.08	0.76	0.82	0.08	0.08
19	57849859	57865117	ZNF587	0.16	1.6	1.11	0.16	0.11
19	57769676	57780616	ZNF586	0.37	3.67	3.65	0.37	0.37
19	37181579	37210536	ZNF585B	0.28	2.76	1.4	0.28	0.14
19	37145540	37172695	ZNF585A	0.56	5.62	4.01	0.56	0.40
19	58401472	58431396	ZNF584	0.92	9.22	8.15	0.92	0.82
19	56404014	56427364	ZNF583	0.35	3.53	2.21	0.35	0.22
19	56393676	56399175	ZNF582-DT	0.04	0.42	0.06	0.04	0.01
19	56382751	56393585	ZNF582	0.13	1.26	0.68	0.13	0.07
19	55635028	55645623	ZNF581	1.90	19.01	18.94	1.90	1.90
19	55641002	55643470	ZNF580	0.42	4.15	3.48	0.42	0.35
19	55576774	55580848	ZNF579	0.28	2.09	2.83	0.21	0.28
19	52453553	52516882	ZNF578	0.01	0.04	0.06	0.00	0.01
19	51804442	51887951	ZNF577	0.09	0.86	0.25	0.09	0.03
19	43596392	43601157	ZNF576	0.50	5.01	4.12	0.50	0.41
19	43531574	43536090	ZNF575	0.02	0.13	0.15	0.01	0.02
19	42068477	42081561	ZNF574	0.59	5.79	5.91	0.58	0.59
19	37738302	37779586	ZNF573	0.11	1.14	0.6	0.11	0.06
8	124973295	124979389	ZNF572	0.14	1.41	1.18	0.14	0.12
19	37548949	37587348	ZNF571-AS1	0.03	0.29	0.22	0.03	0.02
19	37564253	37594830	ZNF571	0.24	2.38	0.64	0.24	0.06
19	37467465	37488652	ZNF570	0.11	1.14	0.73	0.11	0.07
19	2900928	2918646	ZNF57	0.31	1.19	3.05	0.12	0.31
19	19776574	19836182	ZNF56P	0.01	0.14	0.05	0.01	0.01
19	37411146	37469263	ZNF569	0.53	5.27	2.6	0.53	0.26
19	36916332	36997932	ZNF568	0.16	1.63	1.29	0.16	0.13
19	36666934	36723355	ZNF567	0.50	4.95	2.88	0.50	0.29
19	36489627	36491040	ZNF566-AS1	0.06	0.57	0.33	0.06	0.03
19	36445119	36489902	ZNF566	0.30	2.99	2.26	0.30	0.23
19	36182060	36245928	ZNF565	0.14	1.13	1.4	0.11	0.14
19	12525373	12551482	ZNF564	0.32	3.21	1.39	0.32	0.14
19	12317477	12347390	ZNF563	0.02	0.17	0.09	0.02	0.01
19	9641807	9675293	ZNF562	0.50	5.02	4.72	0.50	0.47
19	9621482	9634862	ZNF561-AS1	0.16	1.59	1.11	0.16	0.11
19	9607326	9621249	ZNF561	0.52	5.2	3.83	0.52	0.38
19	9445710	9506692	ZNF560	0.00	0.02	0.01	0.00	0.00
19	9324179	9382617	ZNF559-ZNF177	0.02	0.18	0	0.02	0.00
19	9323772	9345871	ZNF559	0.26	2.64	2.29	0.26	0.23
19	8806170	8838144	ZNF558	0.33	3.29	2.27	0.33	0.23
19	7069703	7087968	ZNF557	0.11	1.14	0.71	0.11	0.07
19	2867335	2883445	ZNF556	0.07	0.41	0.72	0.04	0.07
19	2841475	2860484	ZNF555	0.13	1.01	1.25	0.10	0.13
19	2819868	2836735	ZNF554	0.06	0.63	0.38	0.06	0.04
19	57807082	57815989	ZNF552	0.06	0.61	0.42	0.06	0.04
19	57681977	57690648	ZNF551	0.39	3.3	3.91	0.33	0.39
19	57541836	57561512	ZNF550	0.17	1.74	1.71	0.17	0.17
19	57527356	57540876	ZNF549	0.25	2.47	1.83	0.25	0.18
19	57389852	57403497	ZNF548	0.26	2.57	1.64	0.26	0.16
19	57363551	57379565	ZNF547	0.05	0.49	0.51	0.05	0.05
19	39997060	40021038	ZNF546	0.07	0.65	0.33	0.07	0.03
19	58228594	58277497	ZNF544	0.90	9.01	8.19	0.90	0.82
19	57320472	57330770	ZNF543	0.34	3.44	2.32	0.34	0.23
19	56368099	56379828	ZNF542P	0.71	7.05	4.18	0.71	0.42
19	47520685	47573248	ZNF541	0.00	0	0	0.00	0.00
19	37551374	37614179	ZNF540	0.05	0.48	0.08	0.05	0.01
19	30224236	30713586	ZNF536	0.47	2.56	4.73	0.26	0.47
19	52429148	52452263	ZNF534	0.00	0	0	0.00	0.00
18	58862600	58986480	ZNF532	0.00	0.02	0	0.00	0.00
19	57599885	57612722	ZNF530	0.48	4.79	1.76	0.48	0.18
19	36573070	36594716	ZNF529-AS1	0.11	0.83	1.06	0.08	0.11
19	36534491	36605411	ZNF529	0.44	4.41	3.26	0.44	0.33
19	52388839	52397757	ZNF528-AS1	0.02	0.16	0.23	0.02	0.02
19	52392752	52418408	ZNF528	0.13	1.26	0.92	0.13	0.09
19	37371057	37393066	ZNF527	0.20	1.98	0.69	0.20	0.07
19	42220312	42228201	ZNF526	0.30	3	2.93	0.30	0.29
19	53365705	53386590	ZNF525	0.27	2.69	1.85	0.27	0.19
19	55599772	55603138	ZNF524	0.14	1.44	1.24	0.14	0.12
18	25061924	25352194	ZNF521	0.36	1.24	3.58	0.12	0.36
18	14071121	14132435	ZNF519	0.51	5.06	2.86	0.51	0.29
4	10439880	10457426	ZNF518B	0.40	4.02	3.8	0.40	0.38
10	96128906	96205291	ZNF518A	0.46	4.56	3.21	0.46	0.32
8	144798913	144813137	ZNF517	0.06	0.57	0.52	0.06	0.05
