Chromosome	Start	End	Gene	TPM	Length
chr1	93668072	93668594	DR1	1.53	522
chr1	94095061	94095693	ABCD3	2.77	632
chr1	94803383	94803993	CNN3	24.49	610
chr1	94873893	94874491	CNN3	24.49	598
chr1	95002853	95003155	CNN3	24.49	302
chr1	95197686	95198334	CNN3	24.49	648
chr1	97832553	97832776	DPYD	0.21	223
chr1	98393971	98394319	DPYD	0.21	348
chr1	99674796	99675078	PALMD	0.45	282
chr1	99805762	99806121	RTCA	1.57	359
chr1	100760479	100760739	EXTL2	2.03	260
chr1	101051721	101052285	EXTL2	2.03	564
chr1	107936531	107937029	SLC25A24	2.64	498
chr1	107937194	107937516	SLC25A24	2.64	322
chr1	107976846	107977133	SLC25A24	2.64	287
chr1	108016379	108016945	SLC25A24	2.64	566
chr1	109083918	109084245	SCARNA2	123.23	327
chr1	109529918	109530761	PSMA5	2.61	843
chr1	109782529	109782890	AHCYL1	2.30	361
chr1	109805449	109805983	AHCYL1	2.30	534
chr1	112332435	112333122	CAPZA1	15.83	687
chr1	112332435	112333122	CAPZA1	15.83	687
chr1	114341916	114342630	CSDE1	16.96	714
chr1	115300380	115300958	CSDE1	16.96	578
chr1	115440484	115440770	CSDE1	16.96	286
chr1	116846118	116846471	MAN1A2	1.73	353
chr1	116849048	116849445	MAN1A2	1.73	397
chr1	116853748	116854050	MAN1A2	1.73	302
chr1	117260905	117261679	MAN1A2	1.73	774
chr1	118253354	118253956	TBX15	1.73	602
chr1	118317781	118318180	TBX15	1.73	399
chr1	118333544	118334330	TBX15	1.73	786
chr1	118739312	118739826	TBX15	1.73	514
chr1	118973552	118974009	TBX15	1.73	457
chr1	119336910	119337343	TBX15	1.73	433
chr1	119554109	119554605	TBX15	1.73	496
chr1	119829642	119830041	NOTCH2	1.33	399
chr1	148314993	148315562	SEC22B	1.65	569
chr1	151494727	151495093	PSMB4	18.62	366
chr1	159055142	159055545	IFI16	0.12	403
chr1	160374726	160375069	PEA15	4.83	343
chr1	161728729	161729003	FCRLA	7.23	274
chr1	162846763	162847219	UAP1	2.42	456
chr1	165395411	165395905	ALDH9A1	3.43	494
chr1	165454038	165454552	ALDH9A1	3.43	514
chr1	165572373	165572599	TMCO1	3.73	226
chr1	166594654	166595068	POGK	1.10	414
chr1	168469654	168470011	BLZF1	0.97	357
chr1	171910853	171911182	PRRC2C	0.58	329
chr1	172001478	172001847	C1orf105	1.32	369
chr1	172085424	172085783	C1orf105	1.32	359
chr1	172351720	172352197	C1orf105	1.32	477
chr1	172970271	172970551	PRDX6	9.51	280
chr1	173269477	173270078	PRDX6	9.51	601
chr1	173280999	173281262	PRDX6	9.51	263
chr1	180210219	180210572	TOR1AIP1	1.81	353
chr1	180926383	180926905	ACBD6	0.78	522
chr1	181490964	181491309	ACBD6	0.78	345
chr1	182120794	182121188	GLUL	4.33	394
chr1	183110425	183110763	DHX9	4.99	338
chr1	184535058	184535395	TSEN15	2.12	337
chr1	185775514	185775933	TPR	0.25	419
chr1	186082259	186082619	TPR	0.25	360
chr1	186094203	186094508	TPR	0.25	305
chr1	192343332	192343726	RGS21	0.10	394
chr1	201310864	201311599	CSRP1	10.80	735
chr1	201640564	201640989	CSRP1	10.80	425
chr1	202286721	202286991	MYOG	7.90	270
chr1	202589209	202589630	MYOG	7.90	421
chr1	203252680	203253053	MYOG	7.90	373
chr1	204927664	204928028	NFASC	0.19	364
chr1	207393495	207393982	CD55	0.29	487
chr1	208772887	208773337	.	.	450
chr1	209157738	209158205	.	.	467
chr1	209354114	209354503	.	.	389
chr1	209526066	209526508	C1orf74	0.26	442
chr1	209547630	209548244	C1orf74	0.26	614
chr1	211896874	211897215	NEK2	1.37	341
chr1	212531840	212532168	VASH2	2.62	328
chr1	212979371	212979743	VASH2	2.62	372
chr1	214029738	214030157	SMYD2	1.33	419
chr1	216346470	216346839	KCTD3	0.80	369
chr1	218671580	218672030	LYPLAL1	0.71	450
chr1	218851703	218852008	LYPLAL1	0.71	305
chr1	218852593	218852958	LYPLAL1	0.71	365
chr1	220905872	220906271	HLX	0.16	399
chr1	220922919	220923331	HLX	0.16	412
chr1	226542669	226543104	PARP1	3.89	435
chr1	226783273	226783566	PARP1	3.89	293
chr1	226809983	226810549	PARP1	3.89	566
chr1	230621117	230621758	GNPAT	2.03	641
chr1	231071015	231071607	GNPAT	2.03	592
chr1	231094408	231094727	GNPAT	2.03	319
chr1	231951410	231951738	NTPCR	0.31	328
chr1	231971448	231971778	NTPCR	0.31	330
chr1	232868927	232869405	NTPCR	0.31	478
chr1	233843593	233843843	COA6	1.27	250
chr1	234639002	234639379	TOMM20	5.88	377
chr1	235180937	235181382	TOMM20	5.88	445
chr1	239809974	239810472	CHRM3	0.03	498
chr1	239811211	239811542	CHRM3	0.03	331
chr1	241988869	241989292	FH	3.42	423
chr10	4527483	4527979	KLF6	0.44	496
chr10	4850444	4850817	NET1	2.52	373
chr10	5614461	5614746	GDI2	11.28	285
chr10	7375470	7375739	SFMBT2	0.11	269
chr10	9560925	9561226	.	.	301
chr10	11012201	11012783	CELF2	1.33	582
chr10	12961401	12961856	CDC123	3.99	455
chr10	14215692	14215960	PRPF18	0.55	268
chr10	14260204	14260644	PRPF18	0.55	440
chr10	14397057	14397501	PRPF18	0.55	444
chr10	18527541	18527996	STAM	0.53	455
chr10	22453869	22454310	COMMD3	2.75	441
chr10	23150105	23150554	COMMD3	2.75	449
chr10	23399778	23400199	MSRB2	1.03	421
chr10	23918277	23918613	MSRB2	1.03	336
chr10	24128185	24128839	ARHGAP21	0.28	654
chr10	26235814	26236167	.	.	353
chr10	27713991	27714230	WAC	3.39	239
chr10	27911663	27911964	WAC	3.39	301
chr10	28124086	28124372	WAC	3.39	286
chr10	29658979	29659649	MTPAP	0.72	670
chr10	29748127	29748608	MTPAP	0.72	481
chr10	29849157	29849918	MTPAP	0.72	761
chr10	29996583	29997159	MTPAP	0.72	576
chr10	30776218	30776662	ZEB1	0.50	444
chr10	30820331	30820680	ZEB1	0.50	349
chr10	31664771	31665229	ARHGAP12	1.33	458
chr10	32217310	32217612	KIF5B	2.89	302
chr10	33052509	33052791	ITGB1	6.67	282
chr10	33669805	33670246	ITGB1	6.67	441
chr10	34190563	34190875	CUL2	1.62	312
chr10	34299006	34299446	CUL2	1.62	440
chr10	35934504	35934969	CCNY	1.27	465
chr10	35986932	35987232	CCNY	1.27	300
chr10	44301051	44301603	HNRNPF	5.35	552
chr10	49321061	49321379	VSTM4	0.14	318
chr10	50516199	50516433	SGMS1	0.36	234
chr10	51629818	51630282	CSTF2T	1.11	464
chr10	62048842	62049356	ADO	0.71	514
chr10	62402824	62403053	NRBF2	1.45	229
chr10	62456533	62457283	NRBF2	1.45	750
chr10	63269146	63269469	NRBF2	1.45	323
chr10	65377540	65378034	.	.	494
chr10	66322223	66322918	CTNNA3	0.02	695
chr10	66626373	66626591	CTNNA3	0.02	218
chr10	66951899	66952353	CTNNA3	0.02	454
chr10	70664687	70665155	PCBD1	2.21	468
chr10	77315555	77315945	KCNMA1	0.17	390
chr10	77431179	77431766	KCNMA1	0.17	587
chr10	88038277	88038548	ATAD1	1.51	271
chr10	90224831	90225123	RPP30	0.98	292
chr10	91313858	91314317	TNKS2	0.98	459
chr10	91340833	91341376	TNKS2	0.98	543
chr10	92407892	92408207	IDE	0.45	315
chr10	92488998	92489269	KIF11	1.18	271
chr10	95221152	95221518	ALDH18A1	2.44	366
chr10	98632552	98632820	GOT1	1.98	268
chr10	99057983	99058322	GOT1	1.98	339
chr10	100886881	100887397	NDUFB8	9.68	516
chr10	100890604	100891071	NDUFB8	9.68	467
chr10	101770682	101771260	NPM3	5.81	578
chr10	102208426	102209096	ACTR1A	3.91	670
chr10	102262927	102263371	ACTR1A	3.91	444
chr10	102269024	102269489	ACTR1A	3.91	465
chr10	102280566	102281072	ACTR1A	3.91	506
chr10	102776904	102777418	WBP1L	2.50	514
chr10	106549405	106549672	SORCS1	0.67	267
chr10	106761883	106762302	SORCS1	0.67	419
chr10	107091011	107091632	SORCS1	0.67	621
chr10	107560768	107561060	.	.	292
chr10	108275915	108276277	.	.	362
chr10	109343286	109343747	SMNDC1	2.08	461
chr10	109898602	109899022	SMNDC1	2.08	420
chr10	110636850	110637481	SHOC2	2.11	631
chr10	110650361	110650751	SHOC2	2.11	390
chr10	110725686	110726253	SHOC2	2.11	567
chr10	111175797	111176237	SHOC2	2.11	440
chr10	111448873	111449249	ZDHHC6	2.15	376
chr10	112955941	112956352	ZDHHC6	2.15	411
chr10	113027878	113028402	ZDHHC6	2.15	524
chr10	114362787	114363145	TRUB1	1.89	358
chr10	114374025	114374728	TRUB1	1.89	703
chr10	114623775	114624273	TRUB1	1.89	498
chr10	118472836	118473336	PRDX3	17.61	500
chr10	118491953	118492366	PRDX3	17.61	413
chr10	118832337	118832753	PRDX3	17.61	416
chr10	118907015	118907430	PRDX3	17.61	415
chr10	118914670	118915133	PRDX3	17.61	463
chr10	121098369	121098685	ATE1	1.12	316
chr10	121244786	121245163	ATE1	1.12	377
chr10	121310135	121310601	ATE1	1.12	466
chr10	121500762	121501233	ATE1	1.12	471
chr10	121681118	121681594	ATE1	1.12	476
chr10	124341017	124341360	OAT	5.86	343
chr10	126063402	126063753	BCCIP	4.79	351
chr10	127619504	127619968	.	.	464
chr10	128929068	128929485	MGMT	0.58	417
chr10	132722426	132723268	INPP5A	0.76	842
chr10	132742801	132743181	INPP5A	0.76	380
chr10	133616566	133617254	ECHS1	9.90	688
chr11	665326	665906	RPLP2	117.90	580
chr11	8360347	8360694	TUB	0.09	347
chr11	9906036	9906397	WEE1	1.90	361
chr11	10328842	10329154	SNORD97	75.64	312
chr11	10351756	10352150	SNORD97	75.64	394
chr11	10742844	10743132	SNORD97	75.64	288
chr11	13831667	13832121	RRAS2	3.22	454
chr11	16118224	16118733	C11orf58	2.73	509
chr11	17650280	17650854	MYOD1	9.58	574
chr11	17683578	17683833	MYOD1	9.58	255
chr11	17686160	17686604	MYOD1	9.58	444
chr11	19185023	19185415	ZDHHC13	1.61	392
chr11	19352393	19353134	ZDHHC13	1.61	741
chr11	20221570	20221964	PRMT3	1.07	394
chr11	20248429	20248768	PRMT3	1.07	339
chr11	20259515	20260028	PRMT3	1.07	513
chr11	20276210	20276669	PRMT3	1.07	459
chr11	20303480	20304000	PRMT3	1.07	520
chr11	20770422	20770834	PRMT3	1.07	412
chr11	21895769	21896020	ANO5	0.01	251
chr11	22459114	22459451	FANCF	0.38	337
chr11	24925121	24925486	LUZP2	1.14	365
chr11	28400286	28400731	LIN7C	3.13	445
chr11	30364237	30364933	ARL14EP	1.54	696
chr11	30387786	30388457	ARL14EP	1.54	671
chr11	30567084	30567509	ARL14EP	1.54	425
chr11	32081147	32081695	RCN1	7.43	548
chr11	33668329	33668772	HIPK3	2.31	443
chr11	35151874	35152285	APIP	1.84	411
chr11	35223390	35223871	APIP	1.84	481
chr11	36123658	36124187	COMMD9	1.14	529
chr11	36463799	36464146	COMMD9	1.14	347
chr11	37861693	37862056	.	.	363
chr11	38839097	38839454	.	.	357
chr11	59463111	59463577	MRPL16	3.41	466
chr11	69309587	69310074	MRPL21	3.32	487
chr11	76849444	76849686	TSKU	0.36	242
chr11	79902405	79902717	.	.	312
chr11	85719049	85719666	TMEM126B	2.12	617
chr11	85780377	85780612	TMEM126B	2.12	235
chr11	92297893	92298172	FAT3	1.04	279
chr11	102421282	102421607	TMEM123	5.87	325
chr11	106482881	106483318	AASDHPPT	4.15	437
chr11	111269233	111269745	SDHD	11.40	512
chr11	112511983	112512250	PTS	1.62	267
chr11	113106510	113106892	PTS	1.62	382
chr11	113506014	113506530	ZW10	1.23	516
chr11	119643341	119643955	RPS25	103.52	614
chr11	121240042	121240452	SC5D	1.93	410
chr11	121929592	121929909	MIR100HG	0.18	317
chr11	122024338	122024724	MIR100HG	0.18	386
chr11	122226733	122227241	MIR100HG	0.18	508
chr11	122261642	122261961	MIR100HG	0.18	319
chr11	125401666	125402080	EI24	4.47	414
chr11	126101240	126101685	FAM118B	1.54	445
chr11	126318649	126319151	ST3GAL4	1.83	502
chr11	126547193	126547545	ST3GAL4	1.83	352
chr11	127199313	127199657	.	.	344
chr11	128929927	128930417	ARHGAP32	0.12	490
chr11	129404762	129405072	APLP2	2.74	310
chr11	130533517	130534092	APLP2	2.74	575
chr11	130737879	130738530	APLP2	2.74	651
chr11	131614572	131615104	NTM	0.17	532
chr11	132064931	132065440	NTM	0.17	509
chr11	134999747	135000027	.	.	280
chr11	135006816	135007264	.	.	448
chr12	3315217	3315740	TSPAN9	1.38	523
chr12	4005899	4006440	CCND2	10.53	541
chr12	6253884	6254113	GAPDH	60.40	229
chr12	8766185	8766468	M6PR	4.28	283
chr12	12333279	12333939	CDKN1B	2.09	660
chr12	12734152	12734407	DDX47	4.24	255
chr12	13358544	13358767	EMP1	0.23	223
chr12	13609924	13610383	EMP1	0.23	459
chr12	13941736	13942057	EMP1	0.23	321
chr12	14260086	14260399	WBP11	1.96	313
chr12	14644336	14644590	WBP11	1.96	254
chr12	16973205	16973772	SKP1P2	0.04	567
chr12	17266893	17267143	SKP1P2	0.04	250
chr12	18056980	18057628	RERGL	0.01	648
chr12	20212676	20213159	PDE3A	0.29	483
chr12	23564363	23564674	SOX5	0.01	311
chr12	25382724	25383079	KRAS	1.18	355
chr12	27003660	27004289	FGFR1OP2	2.80	629
chr12	27034670	27035267	FGFR1OP2	2.80	597
chr12	27984279	27984565	MRPS35	2.43	286
chr12	29882899	29883243	TMTC1	2.47	344
chr12	29990918	29991389	TMTC1	2.47	471
chr12	30108706	30109038	TMTC1	2.47	332
chr12	30110923	30111317	TMTC1	2.47	394
chr12	46160333	46161067	SLC38A2	6.49	734
chr12	46300878	46301367	SLC38A2	6.49	489
chr12	46562724	46563148	SLC38A2	6.49	424
chr12	49403892	49404214	TUBA1C	15.25	322
chr12	51071637	51072109	DAZAP2	3.24	472
chr12	57272745	57273247	NACA	51.50	502
chr12	58868169	58868389	LRIG3	0.57	220
chr12	58982017	58982303	LRIG3	0.57	286
chr12	60873186	60873868	.	.	682
chr12	62910542	62910849	USP15	1.40	307
chr12	64952006	64952378	GNS	3.13	372
chr12	64983790	64984194	GNS	3.13	404
chr12	64998470	64998926	GNS	3.13	456
chr12	65019585	65020208	GNS	3.13	623
chr12	65334968	65335636	TMBIM4	3.32	668
chr12	65500302	65500854	TMBIM4	3.32	552
chr12	65948511	65949121	TMBIM4	3.32	610
chr12	66115128	66115560	TMBIM4	3.32	432
chr12	66241182	66241504	TMBIM4	3.32	322
chr12	66604073	66604525	GRIP1	0.13	452
chr12	67358655	67359423	CAND1	5.06	768
chr12	67410707	67411121	CAND1	5.06	414
chr12	67573725	67574124	CAND1	5.06	399
chr12	67592669	67592986	CAND1	5.06	317
chr12	67601747	67602134	CAND1	5.06	387
chr12	67705768	67706416	CAND1	5.06	648
chr12	68109733	68110215	CAND1	5.06	482
chr12	68209200	68209838	CAND1	5.06	638
chr12	68290208	68290547	NUP107	3.92	339
chr12	69046301	69046705	MDM2	2.42	404
chr12	69897617	69898172	CNOT2	2.38	555
chr12	69991719	69992240	CNOT2	2.38	521
chr12	70661726	70662150	CNOT2	2.38	424
chr12	70854986	70855441	TSPAN8	1.05	455
chr12	70861497	70861990	TSPAN8	1.05	493
chr12	74971215	74971573	KCNC2	0.13	358
chr12	74980647	74980943	KCNC2	0.13	296
chr12	75130778	75131169	KCNC2	0.13	391
chr12	75364883	75365235	NAP1L1	6.70	352
chr12	76967515	76967829	CSRP2	2.11	314
chr12	80553519	80553773	LIN7A	0.49	254
chr12	87529406	87529712	C12orf29	0.79	306
chr12	88985037	88985543	KITLG	1.21	506
chr12	89544596	89544992	ATP2B1	1.36	396
chr12	89999804	90000181	ATP2B1	1.36	377
chr12	92021682	92022029	BTG1	0.59	347
chr12	94173007	94173339	NDUFA12	6.22	332
chr12	94713310	94713542	NDUFA12	6.22	232
chr12	95739835	95740354	SNRPF	5.85	519
chr12	100857377	100857731	ARL1	2.69	354
chr12	102539837	102540227	NUP37	2.25	390
chr12	104668250	104668726	TXNRD1	3.46	476
chr12	106123523	106124042	CKAP4	3.94	519
chr12	110249186	110249622	ARPC3	8.56	436
chr12	115341488	115341845	MED13L	0.38	357
chr12	115407204	115407568	MED13L	0.38	364
chr12	116123524	116124008	MAP1LC3B2	0.51	484
chr12	116164435	116164782	MAP1LC3B2	0.51	347
chr12	116346255	116346530	FBXO21	1.76	275
chr12	117450273	117450561	RFC5	2.62	288
chr12	118694133	118694655	PRKAB1	1.37	522
chr12	119440901	119441395	PRKAB1	1.37	494
chr12	124036855	124037127	ZNF664	1.80	272
chr12	124111210	124111527	ZNF664	1.80	317
chr12	124445356	124445724	UBC	15.58	368
chr12	124694855	124695207	UBC	15.58	352
chr12	124745914	124746429	UBC	15.58	515
chr12	125098741	125099081	UBC	15.58	340
chr12	127767655	127768067	LINC00944	0.17	412
chr12	127830098	127830404	.	.	306
chr12	129076300	129076740	SLC15A4	0.48	440
chr13	22110522	22110905	MICU2	3.04	383
chr13	22690715	22691085	SACS	1.59	370
chr13	23450347	23450696	SACS	1.59	349
chr13	23488388	23488916	SACS	1.59	528
chr13	23722737	23723118	SACS	1.59	381
chr13	23790701	23791192	SACS	1.59	491
chr13	25630279	25630635	SHISA2	2.76	356
chr13	25881900	25882361	SHISA2	2.76	461
chr13	26022568	26022982	SHISA2	2.76	414
chr13	26459718	26460084	CDK8	2.66	366
chr13	28451746	28452195	POMP	11.23	449
chr13	29434974	29435545	SLC7A1	1.55	571
chr13	29448178	29448598	SLC7A1	1.55	420
chr13	29497204	29497760	HMGB1	23.64	556
chr13	29654874	29655105	HMGB1	23.64	231
chr13	29902295	29902705	HMGB1	23.64	410
chr13	30832899	30833355	HMGB1	23.64	456
chr13	33229695	33230261	RFC3	5.33	566
chr13	33610831	33611398	RFC3	5.33	567
chr13	35768614	35768960	NBEA	0.18	346
chr13	36363409	36363781	EXOSC8	3.86	372
chr13	36418098	36418461	EXOSC8	3.86	363
chr13	37306901	37307295	EXOSC8	3.86	394
chr13	40233578	40234232	FOXO1	1.11	654
chr13	41247065	41247726	KBTBD6	0.95	661
chr13	43269137	43269510	AKAP11	0.98	373
chr13	43307676	43308095	ENOX1	0.38	419
chr13	44931232	44931518	TSC22D1	1.08	286
chr13	51315544	51316037	INTS6	0.59	493
chr13	56457848	56458189	.	.	341
chr13	58032770	58033039	PCDH17	0.01	269
chr13	59774440	59774875	DIAPH3	0.98	435
chr13	60759607	60759946	.	.	339
chr13	62710842	62711099	.	.	257
chr13	62875267	62875653	.	.	386
chr13	64723766	64724109	.	.	343
chr13	73235378	73235834	MZT1	4.28	456
chr13	75685320	75685690	UCHL3	2.05	370
chr13	75704586	75704830	UCHL3	2.05	244
chr13	78372487	78372884	POU4F1	0.76	397
chr13	79782821	79783278	SPRY2	3.18	457
chr13	80382488	80382958	SPRY2	3.18	470
chr13	82459540	82459897	.	.	357
chr13	87124069	87124456	SLITRK5	0.26	387
chr13	88281858	88282278	SLITRK5	0.26	420
chr13	89514636	89515189	.	.	553
chr13	95271117	95271664	ABCC4	0.56	547
chr13	97307901	97308475	RAP2A	0.85	574
chr13	98454339	98454748	IPO5	3.88	409
chr13	104198857	104199104	.	.	247
chr13	104979295	104979630	.	.	335
chr13	106029014	106029321	EFNB2	1.84	307
chr13	106043004	106043435	EFNB2	1.84	431
chr13	106986149	106986474	EFNB2	1.84	325
chr13	110254050	110254465	ANKRD10	1.51	415
chr14	24388604	24388973	SDR39U1	0.88	369
chr14	25110995	25111640	STXBP6	0.75	645
chr14	28407110	28407404	.	.	294
chr14	31877288	31877558	ARHGAP5	4.41	270
chr14	32307960	32308658	ARHGAP5	4.41	698
chr14	34340211	34340729	SNX6	2.56	518
chr14	34354465	34354882	SNX6	2.56	417
chr14	38583292	38583567	CLEC14A	0.02	275
chr14	38716895	38717279	SEC23A	3.00	384
chr14	42804225	42804744	.	.	519
chr14	43745879	43746201	.	.	322
chr14	44165262	44165555	.	.	293
chr14	46290699	46291096	LINC00871	0.01	397
chr14	46405057	46405456	LINC00871	0.01	399
chr14	50186985	50187387	ARF6	1.80	402
chr14	51368636	51369165	TMX1	2.89	529
chr14	52356005	52356286	GPR137C	0.19	281
chr14	52977792	52978164	PSMC6	3.30	372
chr14	53010969	53011610	PSMC6	3.30	641
chr14	53062959	53063186	PSMC6	3.30	227
chr14	53355612	53356018	PSMC6	3.30	406
chr14	53599349	53600009	CDKN3	2.72	660
chr14	53640631	53641137	CDKN3	2.72	506
chr14	53692914	53693335	CDKN3	2.72	421
chr14	54667060	54667393	GMFB	4.98	333
chr14	55557185	55557740	DLGAP5	2.19	555
chr14	55760787	55761209	DLGAP5	2.19	422
chr14	56590360	56591082	EXOC5	1.79	722
chr14	56744115	56744523	EXOC5	1.79	408
chr14	57512276	57512574	PSMA3	7.84	298
chr14	58815260	58815803	TIMM9	1.96	543
chr14	60862356	60862696	MNAT1	1.81	340
chr14	60931206	60931655	MNAT1	1.81	449
chr14	61147850	61148647	MNAT1	1.81	797
chr14	61202918	61203624	MNAT1	1.81	706
chr14	61244050	61244514	HIF1A	2.47	464
chr14	66649560	66649895	GPHN	0.48	335
chr14	68137719	68138181	ZFP36L1	2.39	462
chr14	68244641	68244964	ZFP36L1	2.39	323
chr14	68297905	68298419	ZFP36L1	2.39	514
chr14	68313225	68313669	ZFP36L1	2.39	444
chr14	68375463	68375725	ZFP36L1	2.39	262
chr14	68552615	68552948	ZFP36L1	2.39	333
chr14	68563335	68564140	ZFP36L1	2.39	805
chr14	68682759	68683152	ZFP36L1	2.39	393
chr14	69078887	69079697	ERH	21.51	810
chr14	71711509	71712023	SIPA1L1	0.13	514
chr14	74583223	74583578	NPC2	5.44	355
chr14	75042093	75042410	TMED10	6.11	317
chr14	75646203	75646498	TMED10	6.11	295
chr14	77306459	77307336	AHSA1	2.73	877
chr14	80465585	80466191	CEP128	0.30	606
chr14	82313884	82314183	.	.	299
chr14	82398196	82398678	.	.	482
chr14	82655684	82656076	.	.	392
chr14	82657192	82657486	.	.	294
chr14	83816792	83817158	.	.	366
chr14	84254386	84254760	.	.	374
chr14	84657774	84658363	FLRT2	1.08	589
chr14	84961619	84962125	FLRT2	1.08	506
chr14	86911511	86912009	.	.	498
chr14	87567031	87567576	.	.	545
chr14	89630936	89631422	PSMC1	2.68	486
chr14	91115696	91115928	TTC7B	0.35	232
chr14	92431388	92431761	NDUFB1	4.37	373
chr14	95122274	95122636	SCARNA13	55.73	362
chr14	95189681	95190146	SCARNA13	55.73	465
chr14	95226705	95227089	SCARNA13	55.73	384
chr14	95497542	95497994	SCARNA13	55.73	452
chr14	96783859	96784269	VRK1	3.99	410
chr14	98684448	98684895	SETD3	2.93	447
chr14	98705909	98706310	SETD3	2.93	401
chr14	100678013	100678671	YY1	0.96	658
chr14	103880331	103881001	CKB	2.39	670
chr15	24505245	24505624	MAGEL2	0.30	379
chr15	33090153	33090372	ARHGAP11A	0.79	219
chr15	33125954	33126267	ARHGAP11A	0.79	313
chr15	33402579	33403041	FMN1	0.08	462
chr15	34725522	34725998	ACTC1	32.69	476
chr15	38819425	38819762	THBS1	1.01	337
chr15	38827998	38828587	THBS1	1.01	589
chr15	38941382	38941877	THBS1	1.01	495
chr15	40093294	40093744	SRP14	3.96	450
chr15	43602156	43602714	SERF2	4.31	558
chr15	49876282	49876786	COPS2	1.55	504
chr15	52427896	52428129	ARPP19	2.39	233
chr15	55703892	55704261	NEDD4	0.84	369
chr15	57112154	57112587	POLR2M	3.75	433
chr15	57245031	57245546	POLR2M	3.75	515
chr15	57555313	57555640	POLR2M	3.75	327
chr15	57696109	57696491	POLR2M	3.75	382
chr15	57730867	57731275	POLR2M	3.75	408
chr15	58440209	58440691	ADAM10	3.55	482
chr15	58453898	58454807	ADAM10	3.55	909
chr15	58475538	58475905	ADAM10	3.55	367
chr15	58510820	58511640	ADAM10	3.55	820
chr15	59447384	59447799	ANXA2	24.69	415
chr15	59448693	59449063	ANXA2	24.69	370
chr15	60804962	60805386	RORA	0.31	424
chr15	62684058	62684592	TLN2	0.21	534
chr15	63238808	63239158	PPIB	34.81	350
chr15	63347654	63347879	PPIB	34.81	225
chr15	67473032	67473334	AAGAB	1.72	302
chr15	67715231	67715616	AAGAB	1.72	385
chr15	70324118	70324487	RPLP1	49.60	369
