Chromosome	Start	End	Gene	TPM	Length
chr1	19260761	19261057	AKR7A2	3.71	296
chr1	19433084	19433297	CAPZB	7.04	213
chr1	19728837	19729058	DDOST	10.18	221
chr1	19759063	19759540	DDOST	10.18	477
chr1	19771434	19771678	DDOST	10.18	244
chr1	20233917	20234161	DDOST	10.18	244
chr1	20255774	20256093	DDOST	10.18	319
chr1	20281810	20282257	DDOST	10.18	447
chr1	20325752	20326483	DDOST	10.18	731
chr1	20699624	20700033	DDOST	10.18	409
chr1	20710333	20711004	DDOST	10.18	671
chr1	20711902	20712227	DDOST	10.18	325
chr1	20921339	20921725	DDOST	10.18	386
chr1	21022345	21022581	DDOST	10.18	236
chr1	21165009	21165254	DDOST	10.18	245
chr1	21254320	21254856	DDOST	10.18	536
chr1	21303427	21303678	DDOST	10.18	251
chr1	21323132	21323353	DDOST	10.18	221
chr1	21338609	21338957	DDOST	10.18	348
chr1	21451417	21451664	DDOST	10.18	247
chr1	21534671	21534971	DDOST	10.18	300
chr1	21553514	21553926	DDOST	10.18	412
chr1	21631080	21631393	DDOST	10.18	313
chr1	21681436	21681683	CDC42	8.28	247
chr1	21765098	21765335	CDC42	8.28	237
chr1	21869869	21870082	CDC42	8.28	213
chr1	21894273	21894749	CDC42	8.28	476
chr1	21911076	21911466	CDC42	8.28	390
chr1	21952830	21953125	CDC42	8.28	295
chr1	22117807	22118107	CDC42	8.28	300
chr1	22137484	22137699	CDC42	8.28	215
chr1	22208056	22208281	CDC42	8.28	225
chr1	22250699	22251182	CDC42	8.28	483
chr1	22330489	22330764	CDC42	8.28	275
chr1	22342008	22342385	CDC42	8.28	377
chr1	22500594	22500807	CDC42	8.28	213
chr1	22533314	22533568	CDC42	8.28	254
chr1	22794746	22795106	CDC42	8.28	360
chr1	22876553	22876981	CDC42	8.28	428
chr1	23100074	23100507	HNRNPR	5.64	433
chr1	23403849	23404171	HNRNPR	5.64	322
chr1	23581202	23581623	RPL11	28.68	421
chr1	23598388	23598734	RPL11	28.68	346
chr1	24003431	24003691	PNRC2	5.74	260
chr1	24018804	24019129	PNRC2	5.74	325
chr1	24046425	24046668	PNRC2	5.74	243
chr1	24102165	24102541	PNRC2	5.74	376
chr1	24702459	24702857	CLIC4	6.11	398
chr1	24735612	24735919	CLIC4	6.11	307
chr1	24847931	24848258	CLIC4	6.11	327
chr1	25140184	25140534	STMN1	35.22	350
chr1	25239723	25240049	STMN1	35.22	326
chr1	25247224	25247465	STMN1	35.22	241
chr1	25343898	25344183	STMN1	35.22	285
chr1	25516678	25516978	HMGN2	48.90	300
chr1	25554991	25555379	HMGN2	48.90	388
chr1	25666520	25666737	HMGN2	48.90	217
chr1	25676494	25676860	HMGN2	48.90	366
chr1	25707579	25708033	HMGN2	48.90	454
chr1	25737188	25737470	HMGN2	48.90	282
chr1	25738455	25738848	HMGN2	48.90	393
chr1	25743486	25744058	HMGN2	48.90	572
chr1	25917915	25918290	HMGN2	48.90	375
chr1	25927771	25928049	HMGN2	48.90	278
chr1	25953009	25953418	HMGN2	48.90	409
chr1	26298289	26298550	HMGN2	48.90	261
chr1	26328097	26328310	HMGN2	48.90	213
chr1	26620633	26621236	HMGN2	48.90	603
chr1	26723240	26723986	HMGN2	48.90	746
chr1	26768802	26769163	HMGN2	48.90	361
chr1	27099333	27099681	NUDC	2.43	348
chr1	27112184	27112525	NUDC	2.43	341
chr1	27300507	27300938	NUDC	2.43	431
chr1	27403228	27403836	NUDC	2.43	608
chr1	27418427	27418689	NUDC	2.43	262
chr1	27504883	27505577	NUDC	2.43	694
chr1	27520712	27521006	NUDC	2.43	294
chr1	27592956	27593241	NUDC	2.43	285
chr1	27689791	27690037	NUDC	2.43	246
chr1	29202055	29202331	YTHDF2	4.36	276
chr1	29210386	29210623	YTHDF2	4.36	237
chr1	29249184	29249621	YTHDF2	4.36	437
chr1	30526001	30526359	LAPTM5	2.24	358
chr1	30527597	30527831	LAPTM5	2.24	234
chr1	30663690	30663924	LAPTM5	2.24	234
chr1	30707931	30708331	LAPTM5	2.24	400
chr1	30732615	30732896	LAPTM5	2.24	281
chr1	30782628	30782898	LAPTM5	2.24	270
chr1	30786638	30786860	LAPTM5	2.24	222
chr1	30807523	30807780	LAPTM5	2.24	257
chr1	30816640	30817042	LAPTM5	2.24	402
chr1	30883945	30884191	LAPTM5	2.24	246
chr1	30888520	30888794	SNRNP40	8.31	274
chr1	30919243	30919793	SNRNP40	8.31	550
chr1	30981167	30981550	SNRNP40	8.31	383
chr1	31170806	31171062	SNRNP40	8.31	256
chr1	31182431	31182672	SNRNP40	8.31	241
chr1	31476998	31477227	SNRNP40	8.31	229
chr1	31505995	31506208	SNRNP40	8.31	213
chr1	31531196	31531422	SNRNP40	8.31	226
chr1	31775229	31775565	SNRNP40	8.31	336
chr1	31944414	31944671	SNRNP40	8.31	257
chr1	32055456	32055732	SNRNP40	8.31	276
chr1	32062384	32062799	SNRNP40	8.31	415
chr1	32454804	32455098	EIF3I	10.04	294
chr1	32494256	32494587	EIF3I	10.04	331
chr1	32775346	32775666	EIF3I	10.04	320
chr1	32859977	32860253	EIF3I	10.04	276
chr1	33060508	33061208	AK2	4.19	700
chr1	33096451	33096680	AK2	4.19	229
chr1	33099272	33099826	AK2	4.19	554
chr1	33127238	33127523	AK2	4.19	285
chr1	33163597	33164045	AK2	4.19	448
chr1	33176394	33176849	AK2	4.19	455
chr1	33342271	33342674	AK2	4.19	403
chr1	33364029	33364351	AK2	4.19	322
chr1	33382607	33383074	AK2	4.19	467
chr1	33389487	33389803	AK2	4.19	316
chr1	33410095	33410495	AK2	4.19	400
chr1	33599710	33599923	AK2	4.19	213
chr1	35037149	35037486	SFPQ	5.80	337
chr1	35079165	35079567	SFPQ	5.80	402
chr1	35845741	35846143	MRPS15	7.43	402
chr1	36108368	36108743	MRPS15	7.43	375
chr1	36119393	36119608	MRPS15	7.43	215
chr1	36149666	36149902	MRPS15	7.43	236
chr1	36150454	36150965	MRPS15	7.43	511
chr1	36203547	36203799	MRPS15	7.43	252
chr1	36238596	36238833	MRPS15	7.43	237
chr1	37959177	37959534	SF3A3	4.36	357
chr1	38000059	38000484	AKIRIN1	5.72	425
chr1	38132704	38133043	NDUFS5	18.43	339
chr1	38138537	38138894	NDUFS5	18.43	357
chr1	39106307	39106563	NDUFS5	18.43	256
chr1	39141945	39142385	NDUFS5	18.43	440
chr1	39170749	39171132	NDUFS5	18.43	383
chr1	39178592	39178833	NDUFS5	18.43	241
chr1	39183774	39184186	NDUFS5	18.43	412
chr1	39204634	39205021	NDUFS5	18.43	387
chr1	39272228	39272613	NDUFS5	18.43	385
chr1	39398615	39399056	NDUFS5	18.43	441
chr1	39478268	39478510	NDUFS5	18.43	242
chr1	39509490	39509709	NDUFS5	18.43	219
chr1	39646222	39646900	NDUFS5	18.43	678
chr1	39776445	39776665	NDUFS5	18.43	220
chr1	39816538	39817007	NDUFS5	18.43	469
chr1	39845391	39846059	CAP1	9.48	668
chr1	39970305	39970845	CAP1	9.48	540
chr1	40746834	40747097	CTPS1	2.80	263
chr1	41003769	41004036	CTPS1	2.80	267
chr1	41399168	41399470	CTPS1	2.80	302
chr1	41418939	41419237	CTPS1	2.80	298
chr1	41435643	41435924	CTPS1	2.80	281
chr1	41454371	41454834	CTPS1	2.80	463
chr1	41474567	41474929	CTPS1	2.80	362
chr1	41558607	41559198	FOXJ3	1.75	591
chr1	41673088	41673312	PPIH	4.20	224
chr1	42144334	42144747	YBX1	17.21	413
chr1	42170877	42171090	YBX1	17.21	213
chr1	42420915	42421181	YBX1	17.21	266
chr1	42807353	42807678	YBX1	17.21	325
chr1	42929437	42929822	YBX1	17.21	385
chr1	42940984	42941285	YBX1	17.21	301
chr1	43206752	43207212	CDC20	10.68	460
chr1	43472468	43472771	ATP6V0B	14.60	303
chr1	43472875	43473123	ATP6V0B	14.60	248
chr1	43493915	43494323	ATP6V0B	14.60	408
chr1	43799644	43799990	ATP6V0B	14.60	346
chr1	43881539	43881756	ATP6V0B	14.60	217
chr1	44089692	44089949	ATP6V0B	14.60	257
chr1	44111074	44111287	ATP6V0B	14.60	213
chr1	44327922	44328270	ATP6V0B	14.60	348
chr1	44390346	44390692	ATP6V0B	14.60	346
chr1	44485668	44485952	ATP6V0B	14.60	284
chr1	44602860	44603075	ATP6V0B	14.60	215
chr1	44603763	44604065	ATP6V0B	14.60	302
chr1	44644013	44644259	ATP6V0B	14.60	246
chr1	44946957	44947170	RPS8	154.44	213
chr1	44947360	44947742	RPS8	154.44	382
chr1	44962748	44963079	RPS8	154.44	331
chr1	44970434	44970647	RPS8	154.44	213
chr1	45863286	45863569	PRDX1	32.15	283
chr1	45872166	45872475	PRDX1	32.15	309
chr1	46286087	46286393	PRDX1	32.15	306
chr1	46689436	46689655	UQCRH	27.28	219
chr1	47409391	47409636	CMPK1	4.88	245
chr1	47794557	47794883	CMPK1	4.88	326
chr1	47805913	47806164	CMPK1	4.88	251
chr1	47813018	47813303	CMPK1	4.88	285
chr1	50610669	50610906	FAF1	2.58	237
chr1	50697434	50697790	RNF11	3.00	356
chr1	50720449	50720786	RNF11	3.00	337
chr1	50978253	50978474	RNF11	3.00	221
chr1	51157413	51157897	RNF11	3.00	484
chr1	51168902	51169356	RNF11	3.00	454
chr1	51264543	51264782	RNF11	3.00	239
chr1	52278745	52279151	TXNDC12	8.08	406
chr1	52679060	52679439	SCP2	4.66	379
chr1	53014803	53015109	SCP2	4.66	306
chr1	53512334	53512703	MAGOH	3.81	369
chr1	53521940	53522330	MAGOH	3.81	390
chr1	53546026	53546239	MAGOH	3.81	213
chr1	53572449	53572814	MAGOH	3.81	365
chr1	53851645	53851906	MRPL37	7.73	261
chr1	54069914	54070140	MRPL37	7.73	226
chr1	54272972	54273299	MRPL37	7.73	327
chr1	54326683	54326911	MRPL37	7.73	228
chr1	54335016	54335444	MRPL37	7.73	428
chr1	54335769	54336051	MRPL37	7.73	282
chr1	54558468	54558732	MRPL37	7.73	264
chr1	54973097	54973550	DHCR24	5.76	453
chr1	55718777	55719234	.	.	457
chr1	55720271	55720605	.	.	334
chr1	57270973	57271262	.	.	289
chr1	57319278	57319520	.	.	242
chr1	57411311	57411690	.	.	379
chr1	58584564	58584909	OMA1	0.99	345
chr1	58773409	58773770	JUN	4.87	361
chr1	58815087	58815385	JUN	4.87	298
chr1	58883910	58884205	JUN	4.87	295
chr1	58896365	58896940	JUN	4.87	575
chr1	59033843	59034075	JUN	4.87	232
chr1	59104343	59104658	JUN	4.87	315
chr1	59113972	59114247	JUN	4.87	275
chr1	59136888	59137254	JUN	4.87	366
chr1	59156836	59157049	JUN	4.87	213
chr1	59169760	59170144	JUN	4.87	384
chr1	59186562	59186982	JUN	4.87	420
chr1	59224260	59224607	JUN	4.87	347
chr1	59243527	59243898	JUN	4.87	371
chr1	59316667	59317135	JUN	4.87	468
chr1	59375290	59375693	JUN	4.87	403
chr1	59393282	59393801	JUN	4.87	519
chr1	59414460	59415080	JUN	4.87	620
chr1	59434369	59434822	JUN	4.87	453
chr1	59475738	59476104	JUN	4.87	366
chr1	59482131	59482421	JUN	4.87	290
chr1	59498694	59499060	JUN	4.87	366
chr1	59523158	59523390	JUN	4.87	232
chr1	59600991	59601428	JUN	4.87	437
chr1	59678909	59679124	JUN	4.87	215
chr1	59686210	59686456	JUN	4.87	246
chr1	59698476	59698745	JUN	4.87	269
chr1	59707234	59707519	JUN	4.87	285
chr1	59759411	59759741	JUN	4.87	330
chr1	59761429	59761822	JUN	4.87	393
chr1	59845233	59845568	CYP2J2	0.03	335
chr1	60090725	60091022	NFIA	0.39	297
chr1	60277317	60277617	NFIA	0.39	300
chr1	60280286	60280653	NFIA	0.39	367
chr1	60746440	60746892	TM2D1	1.62	452
chr1	60833295	60833508	TM2D1	1.62	213
chr1	60903505	60903889	TM2D1	1.62	384
chr1	60911762	60912332	TM2D1	1.62	570
chr1	60952949	60953166	TM2D1	1.62	217
chr1	61170094	61170418	TM2D1	1.62	324
chr1	61182128	61182344	TM2D1	1.62	216
chr1	61184312	61184664	TM2D1	1.62	352
chr1	61244133	61244452	TM2D1	1.62	319
chr1	61318314	61318686	TM2D1	1.62	372
chr1	61319852	61320102	TM2D1	1.62	250
chr1	61337956	61338427	TM2D1	1.62	471
chr1	61370656	61370869	TM2D1	1.62	213
chr1	61395608	61395832	TM2D1	1.62	224
chr1	61640805	61641060	TM2D1	1.62	255
chr1	61993371	61993686	TM2D1	1.62	315
chr1	62045579	62045858	TM2D1	1.62	279
chr1	62241420	62242004	USP1	5.21	584
chr1	62263584	62263958	USP1	5.21	374
chr1	62299814	62300257	USP1	5.21	443
chr1	62305114	62305336	USP1	5.21	222
chr1	62353952	62354274	USP1	5.21	322
chr1	62362501	62362819	USP1	5.21	318
chr1	62377055	62377359	USP1	5.21	304
chr1	62401075	62401451	USP1	5.21	376
chr1	62882189	62882712	PGM1	3.36	523
chr1	62953571	62954029	PGM1	3.36	458
chr1	62962550	62962813	PGM1	3.36	263
chr1	62963068	62963468	PGM1	3.36	400
chr1	63142077	63142372	PGM1	3.36	295
chr1	63441613	63441987	PGM1	3.36	374
chr1	63643893	63644378	PGM1	3.36	485
chr1	63662005	63662218	PGM1	3.36	213
chr1	63714239	63714558	PGM1	3.36	319
chr1	63731600	63731983	PGM1	3.36	383
chr1	63779489	63779767	PGM1	3.36	278
chr1	64036879	64037127	PGM1	3.36	248
chr1	64039508	64039856	PGM1	3.36	348
chr1	64499121	64499388	JAK1	1.02	267
chr1	64572571	64572837	JAK1	1.02	266
chr1	64601213	64601540	JAK1	1.02	327
chr1	64624465	64624775	JAK1	1.02	310
chr1	64892807	64893215	JAK1	1.02	408
chr1	64900954	64901287	JAK1	1.02	333
chr1	64917492	64917925	JAK1	1.02	433
chr1	64975264	64975497	JAK1	1.02	233
chr1	65469895	65470197	LEPROT	1.23	302
chr1	65572852	65573118	LEPROT	1.23	266
chr1	66182545	66183125	SGIP1	0.01	580
chr1	66211742	66211955	SGIP1	0.01	213
chr1	66527734	66527947	SGIP1	0.01	213
chr1	66563421	66563747	SGIP1	0.01	326
chr1	66575757	66575991	SGIP1	0.01	234
chr1	66576711	66577003	SGIP1	0.01	292
chr1	66598733	66598988	SGIP1	0.01	255
chr1	66729220	66729433	SERBP1	5.27	213
chr1	66758227	66758542	SERBP1	5.27	315
chr1	67004243	67004513	SERBP1	5.27	270
chr1	67097310	67097592	SERBP1	5.27	282
chr1	67439382	67439614	SERBP1	5.27	232
chr1	67461073	67461319	GNG12	5.85	246
chr1	67540828	67541107	GNG12	5.85	279
chr1	67566826	67567155	GNG12	5.85	329
chr1	67581063	67581324	GNG12	5.85	261
chr1	67646373	67647013	GNG12	5.85	640
chr1	67674586	67675008	GNG12	5.85	422
chr1	67704312	67704715	GNG12	5.85	403
chr1	67711870	67712215	GNG12	5.85	345
chr1	67724935	67725243	GNG12	5.85	308
chr1	67750144	67750358	GNG12	5.85	214
chr1	68174087	68174495	GNG12	5.85	408
chr1	71706065	71706321	NEGR1	0.09	256
chr1	73832502	73832725	FPGT	0.53	223
chr1	76024639	76024862	ST6GALNAC3	0.32	223
chr1	76039888	76040309	ST6GALNAC3	0.32	421
chr1	76266746	76267118	PIGK	1.83	372
chr1	76269252	76269507	PIGK	1.83	255
chr1	76336692	76337472	PIGK	1.83	780
chr1	76374109	76374441	PIGK	1.83	332
chr1	76379594	76379937	PIGK	1.83	343
chr1	76583223	76583493	PIGK	1.83	270
chr1	76764991	76765302	PIGK	1.83	311
chr1	76771071	76771405	PIGK	1.83	334
chr1	76799783	76800083	PIGK	1.83	300
chr1	76833947	76834215	PIGK	1.83	268
chr1	76940636	76940925	PIGK	1.83	289
chr1	77360303	77360583	FUBP1	2.94	280
chr1	77378831	77379195	FUBP1	2.94	364
chr1	77405186	77405536	FUBP1	2.94	350
chr1	77539049	77539284	FUBP1	2.94	235
chr1	78095619	78095854	FUBP1	2.94	235
chr1	78101628	78101846	FUBP1	2.94	218
chr1	78419383	78419596	IFI44	0.40	213
chr1	78483993	78484219	IFI44	0.40	226
chr1	78840538	78841343	.	.	805
chr1	78885038	78885308	.	.	270
chr1	79549169	79549610	.	.	441
chr1	79657962	79658244	.	.	282
chr1	79716584	79716807	.	.	223
chr1	80054118	80054492	.	.	374
chr1	80175237	80175537	.	.	300
chr1	80244478	80244701	.	.	223
chr1	80922991	80923262	.	.	271
chr1	81053901	81054118	.	.	217
chr1	81151041	81151440	.	.	399
chr1	81407233	81407519	.	.	286
chr1	81424064	81424493	.	.	429
chr1	81477766	81477979	.	.	213
chr1	81679918	81680263	.	.	345
chr1	81801159	81801415	.	.	256
chr1	81808732	81809004	.	.	272
chr1	81920330	81920756	.	.	426
chr1	82160926	82161246	.	.	320
chr1	82219885	82220103	.	.	218
chr1	82226120	82226444	.	.	324
chr1	82565152	82565464	.	.	312
chr1	83508567	83508976	.	.	409
chr1	83596427	83596643	.	.	216
chr1	83641875	83642127	.	.	252
chr1	83815450	83815667	.	.	217
chr1	83827854	83828160	.	.	306
chr1	84103374	84103760	GNG5	5.32	386
chr1	84292367	84292583	GNG5	5.32	216
chr1	84847328	84847673	GNG5	5.32	345
chr1	85240152	85240558	GNG5	5.32	406
chr1	85297906	85298519	GNG5	5.32	613
chr1	85314016	85314291	GNG5	5.32	275
chr1	85328986	85329306	GNG5	5.32	320
chr1	85330220	85330631	GNG5	5.32	411
chr1	85378555	85378826	C1orf52	1.69	271
chr1	85494419	85494802	C1orf52	1.69	383
chr1	85495610	85495946	C1orf52	1.69	336
chr1	85607189	85607597	C1orf52	1.69	408
chr1	85611973	85612196	C1orf52	1.69	223
chr1	86068377	86068911	C1orf52	1.69	534
chr1	86184432	86184743	C1orf52	1.69	311
chr1	86227178	86227397	C1orf52	1.69	219
chr1	86774009	86774534	SH3GLB1	3.30	525
chr1	86792754	86793398	SH3GLB1	3.30	644
chr1	87155175	87155481	SH3GLB1	3.30	306
chr1	87155622	87156041	SH3GLB1	3.30	419
chr1	87168144	87168533	HS2ST1	2.00	389
chr1	87180233	87180456	HS2ST1	2.00	223
chr1	87226263	87226635	HS2ST1	2.00	372
chr1	87410755	87411215	HS2ST1	2.00	460
chr1	87572928	87573287	.	.	359
chr1	87632287	87632561	.	.	274
chr1	87742472	87742927	.	.	455
chr1	87795029	87795274	.	.	245
chr1	87806036	87806341	.	.	305
chr1	87897544	87897786	.	.	242
chr1	88985055	88985417	RBMXL1	1.41	362
chr1	89090044	89090278	RBMXL1	1.41	234
chr1	89894134	89894399	LRRC8D	0.68	265
chr1	89906771	89907045	LRRC8D	0.68	274
chr1	89927111	89927377	LRRC8D	0.68	266
chr1	89948774	89949041	LRRC8D	0.68	267
chr1	89975188	89975410	LRRC8D	0.68	222
chr1	90187306	90187573	ZNF644	3.21	267
chr1	90750437	90750650	ZNF644	3.21	213
chr1	90761973	90762324	ZNF644	3.21	351
chr1	91098476	91098748	ZNF644	3.21	272
chr1	91137496	91137850	ZNF644	3.21	354
chr1	91148671	91149145	ZNF644	3.21	474
chr1	91335654	91335967	CDC7	1.83	313
chr1	91374126	91374343	CDC7	1.83	217
chr1	91604722	91605020	CDC7	1.83	298
chr1	91806603	91807000	CDC7	1.83	397
chr1	91830326	91830564	CDC7	1.83	238
chr1	92441708	92442346	RPL5	87.27	638
chr1	92785365	92785587	RPL5	87.27	222
chr1	92934743	92935044	RPL5	87.27	301
chr1	92951253	92951492	RPL5	87.27	239
chr1	93426159	93426564	DR1	1.53	405
chr1	93552817	93553464	DR1	1.53	647
chr1	93608563	93608975	DR1	1.53	412
chr1	93669398	93669756	DR1	1.53	358
chr1	93722217	93722567	DR1	1.53	350
chr1	93722722	93723011	DR1	1.53	289
chr1	93738969	93739247	DR1	1.53	278
chr1	93740787	93741090	DR1	1.53	303
chr1	93798369	93798630	DR1	1.53	261
chr1	93817019	93817243	DR1	1.53	224
chr1	93938744	93939100	ABCD3	2.77	356
chr1	93979878	93980267	ABCD3	2.77	389
chr1	94039912	94040487	ABCD3	2.77	575
chr1	94045451	94045811	ABCD3	2.77	360
chr1	94069029	94069245	ABCD3	2.77	216
chr1	94069573	94069960	ABCD3	2.77	387
chr1	94126298	94126599	ABCD3	2.77	301
chr1	94169209	94169494	ABCD3	2.77	285
chr1	94235743	94235983	ABCD3	2.77	240
chr1	94279120	94279333	ABCD3	2.77	213
chr1	94579923	94580280	ABCD3	2.77	357
chr1	94595721	94596026	ABCD3	2.77	305
chr1	94635029	94635253	ABCD3	2.77	224
chr1	94648247	94648509	ABCD3	2.77	262
chr1	94689171	94689384	ABCD3	2.77	213
chr1	94710028	94710259	ABCD3	2.77	231
chr1	94728173	94728386	ABCD3	2.77	213
chr1	94735516	94735763	ABCD3	2.77	247
chr1	94854441	94854707	CNN3	24.49	266
chr1	94855037	94855253	CNN3	24.49	216
chr1	94865369	94865756	CNN3	24.49	387
